range,mill,diff100m,eta
1800,1506,0.5,63.1
1900,1501,0.5,63.0
2000,1496,0.5,63.0
2100,1490,0.6,63.0
2200,1485,0.6,62.9
2300,1480,0.6,62.9
2400,1474,0.7,62.8
2500,1469,0.7,62.8
2600,1464,0.7,62.8
2700,1458,0.7,62.7
2800,1453,0.8,62.7
2900,1447,0.8,62.6
3000,1442,0.8,62.6
3100,1437,0.9,62.5
3200,1431,0.9,62.5
3300,1426,0.9,62.4
3400,1420,1.0,62.3
3500,1415,1.0,62.3
3600,1409,1.0,62.2
3700,1403,1.1,62.1
3800,1398,1.1,62.1
3900,1392,1.2,62.0
4000,1387,1.2,61.9
4100,1381,1.2,61.9
4200,1375,1.3,61.8
4300,1369,1.3,61.7
4400,1364,1.4,61.6
4500,1358,1.4,61.5
4600,1352,1.4,61.5
4700,1346,1.5,61.4
4800,1340,1.5,61.3
4900,1334,1.6,61.2
5000,1328,1.6,61.1
5100,1322,1.7,61.0
5200,1316,1.7,60.9
5300,1310,1.8,60.8
5400,1304,1.8,60.7
5500,1298,1.9,60.6
5600,1291,1.9,60.4
5700,1285,2.0,60.3
5800,1279,2.1,60.2
5900,1272,2.1,60.1
6000,1266,2.2,59.9
6100,1259,2.3,59.8
6200,1252,2.3,59.7
6300,1246,2.4,59.5
6400,1239,2.5,59.4
6500,1232,2.6,59.2
6600,1225,2.7,59.1
6700,1218,2.7,58.9
6800,1211,2.8,58.8
6900,1204,2.9,58.6
7000,1196,3.0,58.4
7100,1189,3.1,58.2
7200,1181,3.3,58.1
7300,1174,3.4,57.9
7400,1166,3.5,57.7
7500,1158,3.6,57.5
7600,1150,3.8,57.2
7700,1142,3.9,57.0
7800,1133,4.1,56.8
7900,1125,4.3,56.6
8000,1116,4.5,56.3
8100,1107,4.7,56.0
8200,1098,4.9,55.8
8300,1088,5.2,55.5
8400,1078,5.5,55.2
8500,1068,5.8,54.9
8600,1058,6.1,54.6
8700,1047,6.5,54.2
8800,1035,6.9,53.8
8900,1023,7.5,53.4
9000,1011,8.1,53.0
9100,998,8.8,52.6
9200,983,9.6,52.1
9300,968,10.7,51.5
9400,951,12.2,50.9
9500,933,14.2,50.2
9600,911,17.2,49.4
9700,883,22.6,48.3
9800,841,37.8,46.5
