range,mill,diff100m,eta
700,36,-,2.3
800,41,-,2.6
900,47,-,2.9
1000,52,-,3.2
1100,57,-,3.5
1200,62,-,3.9
1300,68,-,4.2
1400,73,-,4.5
1500,78,-,4.8
1600,83,-,5.2
1700,89,-,5.5
1800,94,-57.0,5.8
1900,99,-54.1,6.2
2000,104,-51.4,6.5
2100,110,-49.0,6.8
2200,115,-46.9,7.1
2300,120,-44.9,7.5
2400,126,-43.1,7.8
2500,131,-41.4,8.1
2600,136,-39.9,8.4
2700,142,-38.5,8.8
2800,147,-37.1,9.1
2900,153,-35.9,9.4
3000,158,-34.8,9.8
3100,163,-33.7,10.1
3200,169,-32.7,10.4
3300,174,-31.8,10.8
3400,180,-30.9,11.1
3500,185,-30.1,11.5
3600,191,-29.3,11.8
3700,197,-28.6,12.1
3800,202,-27.9,12.5
3900,208,-27.3,12.8
4000,213,-26.7,13.2
4100,219,-26.1,13.5
4200,225,-25.5,13.9
4300,231,-25.0,14.2
4400,236,-24.5,14.6
4500,242,-24.0,14.9
4600,248,-23.6,15.3
4700,254,-23.2,15.6
4800,260,-22.8,16.0
4900,266,-22.4,16.3
5000,272,-22.0,16.7
5100,278,-21.6,17.1
5200,284,-21.3,17.4
5300,290,-21.0,17.8
5400,296,-20.7,18.2
5500,302,-20.4,18.5
5600,309,-20.1,18.9
5700,315,-19.9,19.3
5800,321,-19.7,19.6
5900,328,-19.4,20.0
6000,334,-19.2,20.4
6100,341,-19.0,20.8
6200,348,-18.8,21.2
6300,354,-18.6,21.6
6400,361,-18.4,22.0
6500,368,-18.2,22.4
6600,375,-18.1,22.8
6700,382,-17.9,23.2
6800,389,-17.8,23.6
6900,396,-17.7,24.0
7000,404,-17.6,24.4
7100,411,-17.5,24.9
7200,419,-17.4,25.3
7300,426,-17.3,25.7
7400,434,-17.2,26.2
7500,442,-17.2,26.6
7600,450,-17.2,27.1
7700,458,-17.0,27.5
7800,467,-17.0,28.0
7900,475,-17.0,28.5
8000,484,-17.0,29.0
8100,493,-17.0,29.5
8200,502,-17.3,30.0
8300,512,-17.4,30.5
8400,522,-17.6,31.0
8500,532,-17.7,31.6
8600,542,-18.0,32.1
8700,553,-18.3,32.7
8800,565,-18.5,33.3
8900,577,-18.9,34.0
9000,589,-19.4,34.6
9100,602,-20.0,35.3
9200,617,-20.7,36.0
9300,632,-21.7,36.8
9400,649,-23.0,37.7
9500,667,-24.9,38.6
9600,689,-27.8,39.7
9700,717,-33.1,41.0
9800,759,-48.2,43.0
