range,mill,diff100m,eta
8300,1169,,61.3
8400,1162,3.2,61.1
8500,1155,3.3,61.0
8600,1148,3.4,60.7
8700,1141,3.4,60.5
8800,1133,3.6,60.3
8900,1126,3.7,60.1
9000,1118,3.9,59.9
9100,1110,4.1,59.7
9200,1102,4.3,59.4
9300,1093,4.5,59.1
9400,1085,4.7,58.8
9500,1076,4.9,58.6
9600,1067,5.2,58.3
9700,1058,5.4,58.0
9800,1048,5.7,57.6
9900,1038,6.1,57.3
10000,1028,6.5,56.9
10100,1017,6.9,56.5
10200,1006,7.4,56.1
10300,994,8.0,55.7
10400,981,8.8,55.2
10500,967,9.7,54.7
10600,952,10.8,54.1
10700,936,12.4,53.5
10800,917,14.5,52.7
10900,895,18.0,51.8
11000,865,25.0,50.5
