range,mill,diff100m,eta
7100,90,,11.3
7200,91,,11.5
7300,93,,11.7
7400,94,,11.8
7500,95,,12.0
7600,97,,12.1
7700,98,,12.3
7800,99,,12.5
7900,100,,12.6
8000,102,,12.8
8100,103,-12.7,12.9
8200,104,-12.6,13.1
8300,106,-12.4,13.3
8400,107,-12.2,13.4
8500,108,-12.1,13.6
8600,109,-12.0,13.8
8700,111,-11.8,13.9
8800,112,-11.8,14.1
8900,113,-11.6,14.2
9000,115,-11.5,14.4
9100,116,-11.4,14.6
9200,117,-11.3,14.7
9300,118,-11.1,14.9
9400,120,-11.0,15.0
9500,121,-10.9,15.2
9600,122,-10.8,15.4
9700,124,-10.7,15.5
9800,125,-10.6,15.7
9900,126,-10.5,15.9
10000,128,-10.3,16.0
10100,129,-10.3,16.2
10200,130,-10.2,16.3
10300,131,-10.1,16.5
10400,133,-10.0,16.7
10500,134,-9.9,16.8
10600,135,-9.8,17.0
10700,137,-9.7,17.2
10800,138,-9.7,17.3
10900,139,-9.5,17.5
11000,141,-9.4,17.7
11100,142,-9.4,17.8
11200,143,-9.3,18.0
11300,145,-9.2,18.1
11400,146,-9.1,18.3
11500,147,-9.0,18.4
11600,149,-9.0,18.6
11700,150,-8.9,18.8
11800,151,-8.8,18.9
11900,152,-8.8,19.1
12000,154,-8.7,19.3
12100,155,-8.6,19.5
12200,156,-8.6,19.6
12300,158,-8.5,19.8
12400,159,-8.4,20.0
12500,160,-8.4,20.1
12600,162,-8.3,20.3
12700,163,-8.2,20.5
12800,164,-8.2,20.6
12900,166,-8.1,20.8
13000,167,-8.0,20.9
13100,168,-8.0,21.1
13200,170,-7.9,21.3
13300,171,-7.9,21.4
13400,172,-7.8,21.6
13500,174,-7.8,21.8
13600,175,-7.7,21.9
13700,176,-7.7,22.1
13800,178,-7.6,22.3
13900,179,-7.6,22.4
14000,180,-7.5,22.6
14100,182,-7.5,22.8
14200,183,-7.4,22.9
14300,185,-7.4,23.1
14400,186,-7.3,23.3
14500,187,-7.3,23.4
14600,189,-7.2,23.6
14700,190,-7.2,23.8
14800,191,-7.1,24.0
14900,193,-7.1,24.1
15000,194,-7.0,24.3
15100,195,-7.0,24.5
15200,197,-7.0,24.6
15300,198,-6.9,24.8
15400,199,-6.9,25.0
15500,201,-6.8,25.1
15600,202,-6.8,25.3
15700,204,-6.7,25.4
15800,205,-6.7,25.6
15900,206,-6.6,25.8
16000,208,-6.6,25.9
16100,209,-6.5,26.1
16200,210,-6.5,26.3
16300,212,-6.5,26.5
16400,213,-6.5,26.7
16500,215,-6.5,26.8
16600,216,-6.4,27.0
16700,217,-6.4,27.2
16800,219,-6.4,27.3
16900,220,-6.3,27.5
17000,222,-6.3,27.7
17100,223,-6.3,27.9
17200,224,-6.2,28.0
17300,226,-6.2,28.2
17400,227,-6.2,28.4
17500,229,-6.1,28.5
17600,230,-6.1,28.7
17700,231,-6.1,28.9
17800,233,-6.0,29.1
17900,234,-6.0,29.2
18000,236,-6.0,29.4
18100,237,-6.0,29.6
