range,mill,diff100m,eta
5300,90,,9.8
5400,92,,10.0
5500,94,,10.2
5600,95,,10.4
5700,97,,10.5
5800,99,,10.7
5900,100,,11.0
6000,102,,11.2
6100,104,,11.3
6200,106,-16.6,11.5
6300,107,-16.3,11.7
6400,109,-16.1,11.9
6500,111,-15.9,12.0
6600,113,-15.8,12.2
6700,114,-15.5,12.4
6800,116,-15.2,12.6
6900,118,-15.0,12.8
7000,120,-14.8,13.0
7100,121,-14.4,13.2
7200,123,-14.2,13.4
7300,125,-14.0,13.5
7400,127,-14.0,13.7
7500,128,-13.8,13.9
7600,130,-13.6,14.1
7700,132,-13.4,14.3
7800,134,-13.3,14.5
7900,135,-13.1,14.7
8000,137,-13.0,14.9
8100,139,-12.8,15.1
8200,141,-12.7,15.2
8300,142,-12.5,15.4
8400,144,-12.2,15.6
8500,146,-12.2,15.8
8600,148,-12.0,16.0
8700,149,-12.0,16.2
8800,151,-11.8,16.4
8900,153,-11.8,16.6
9000,155,-11.5,16.8
9100,157,-11.3,17.0
9200,158,-11.1,17.3
9300,160,-11.1,17.5
9400,162,-11.0,17.5
9500,164,-11.0,17.7
9600,165,-10.9,17.9
9700,167,-10.8,18.1
9800,169,-10.8,18.3
9900,171,-10.6,18.5
10000,173,-10.5,18.7
10100,174,-10.5,19.0
10200,176,-10.3,19.1
10300,178,-10.2,19.3
10400,180,-10.1,19.4
10500,182,-10.0,19.6
10600,183,-9.9,19.8
10700,185,-9.9,20.0
10800,187,-9.8,20.2
10900,189,-9.7,20.3
11000,191,-9.6,20.6
11100,192,-9.5,20.8
11200,194,-9.4,21.0
11300,196,-9.4,21.2
11400,196,-9.3,21.4
11500,200,-9.2,21.6
11600,202,-9.1,21.8
11700,203,-9.1,22.0
11800,205,-9.0,22.2
11900,207,-8.9,22.4
12000,209,-8.9,22.6
12100,211,-8.8,22.8
12200,213,-8.7,23.0
12300,215,-8.7,23.2
12400,216,-8.6,23.4
12500,218,-8.6,23.6
12600,220,-8.5,23.8
12700,222,-8.4,24.1
12800,224,-8.4,24.3
12900,226,-8.3,24.6
13000,228,-8.2,24.8
13100,229,-8.2,25.0
13200,231,-8.2,25.2
13300,233,-8.1,25.3
13400,235,-8.0,25.3
13500,237,-8.0,25.5
13600,239,-7.9,25.7
13700,241,-7.9,25.9
13800,243,-7.8,26.1
13900,245,-7.8,26.3
14000,247,-7.7,26.5
14100,248,-7.7,26.7
14200,250,-7.7,27.0
14300,252,-7.6,27.2
14400,254,-7.6,27.4
14500,256,-7.5,27.6
14600,258,-7.5,27.8
14700,260,-7.4,28.1
14800,262,-7.4,28.2
14900,264,-7.4,28.4
