range,mill,diff100m,eta
4100,91,,8.6
4200,93,,8.9
4300,95,,9.1
4400,98,,9.3
4500,100,,9.6
4600,102,,9.7
4700,104,,9.9
4800,107,,10.1
4900,109,,10.4
5000,111,-20.6,10.6
5100,113,-20.2,10.8
5200,116,-19.8,11.0
5300,118,-19.5,11.2
5400,120,-19.1,11.4
5500,122,-18.7,11.7
5600,125,-18.3,11.9
5700,127,-18.0,12.1
5800,129,-17.6,12.2
5900,132,-17.6,12.5
6000,134,-17.3,12.7
6100,136,-17.0,12.9
6200,138,-16.7,13.1
6300,141,-16.5,13.4
6400,143,-16.2,13.6
6500,145,-16.0,13.8
6600,148,-15.8,14.0
6700,150,-15.5,14.2
6800,152,-15.5,14.4
6900,154,-15.1,14.7
7000,157,-14.9,14.9
7100,159,-14.7,15.1
7200,161,-14.4,15.3
7300,163,-14.3,15.5
7400,166,-14.1,15.8
7500,168,-14.0,16.0
7600,171,-13.8,16.2
7700,173,-13.6,16.4
7800,176,-13.3,16.6
7900,178,-13.3,16.9
8000,180,-13.1,17.1
8100,183,-13.1,17.3
8200,185,-12.9,17.5
8300,187,-12.7,17.7
8400,190,-12.6,18.0
8500,192,-12.4,18.2
8600,194,-12.3,18.4
8700,197,-12.3,18.6
8800,199,-12.2,18.8
8900,201,-12.1,19.1
9000,204,-11.8,19.3
9100,206,-11.7,19.5
9200,209,-11.6,19.7
9300,211,-11.5,20.0
9400,213,-11.5,20.2
9500,216,-11.3,20.4
9600,218,-11.3,20.6
9700,221,-11.2,20.9
9800,223,-11.0,21.1
9900,226,-10.8,21.3
10000,228,-10.7,21.5
10100,230,-10.6,21.8
10200,233,-10.6,22.0
10300,235,-10.5,22.2
10400,238,-10.3,22.5
10500,240,-10.3,22.7
10600,243,-10.2,22.9
10700,245,-10.2,23.1
10800,248,-10.0,23.4
10900,250,-10.0,23.6
11000,253,-9.9,23.8
11100,255,-9.8,24.1
11200,258,-9.7,24.3
11300,260,-9.7,24.5
11400,263,-9.6,24.8
11500,265,-9.5,25.0
11600,268,-9.5,25.3
11700,270,-9.4,25.5
11800,273,-9.3,25.7
11900,276,-9.3,25.9
12000,278,-9.3,26.2
12100,281,-9.1,26.4
12200,283,-9.1,26.7
12300,286,-9.0,26.9
12400,289,-9.0,27.1
12500,292,-8.9,27.4
12600,294,-8.9,27.6
12700,296,-8.8,27.9
12800,299,-8.8,28.1
12900,302,-8.7,28.4
13000,304,-8.7,28.6
13100,307,-8.6,28.8
13200,309,-8.6,29.1
13300,312,-8.5,29.3
13400,315,-8.5,29.6
13500,318,-8.4,29.8
13600,321,-8.4,30.0
13700,323,-8.3,30.3
13800,326,-8.3,30.5
13900,329,-8.2,30.8
14000,332,-8.2,31.0
14100,334,-8.2,31.3
14200,337,-8.1,31.5
14300,340,-8.1,31.8
14400,343,-8.1,32.0
14500,346,-8.0,32.3
14600,348,-8.0,32.6
14700,351,-7.9,32.8
14800,354,-7.9,33.1
14900,357,-7.9,33.3
15000,360,-7.9,33.6
15100,363,-7.8,33.8
15200,366,-7.8,34.1
15300,369,-7.8,34.4
15400,372,-7.7,34.6
15500,375,-7.7,34.9
15600,378,-7.7,35.2
15700,381,-7.7,35.4
15800,384,-7.6,35.7
15900,387,-7.6,36.0
16000,390,-7.6,36.2
16100,393,-7.6,36.5
16200,396,-7.5,36.8
16300,399,-7.5,37.0
16400,402,-7.5,37.3
16500,405,-7.5,37.6
16600,408,-7.5,37.9
16700,411,-7.4,38.2
16800,415,-7.4,38.4
16900,418,-7.4,38.7
17000,421,-7.4,39.0
17100,424,-7.4,39.3
17200,428,-7.4,39.6
17300,431,-7.4,39.9
17400,434,-7.4,40.1
17500,438,-7.4,40.4
17600,441,-7.3,40.7
17700,444,-7.3,41.0
17800,448,-7.3,41.3
17900,451,-7.3,41.6
18000,455,-7.3,41.9
18100,458,-7.3,42.2
18200,462,-7.3,42.5
18300,466,-7.3,42.8
18400,469,-7.3,43.2
18500,473,-7.3,43.5
18600,477,-7.3,43.8
18700,480,-7.3,44.1
18800,484,-7.3,44.4
18900,488,-7.3,44.7
19000,492,-7.4,45.1
19100,496,-7.4,45.4
19200,500,-7.4,45.7
19300,504,-7.4,46.1
19400,508,-7.4,46.4
19500,512,-7.5,46.7
19600,516,-7.5,47.1
19700,520,-7.5,47.4
19800,524,-7.5,47.8
19900,529,-7.6,48.1
20000,533,-7.6,48.5
20100,537,-7.6,48.9
20200,542,-7.7,49.2
20300,546,-7.7,49.6
20400,551,-7.8,50.0
20500,556,-7.8,50.4
20600,561,-7.9,50.8
20700,566,-8.0,51.2
20800,571,-8.0,51.6
20900,576,-8.1,52.0
21000,581,-8.2,52.4
21100,586,-8.3,52.9
21200,592,-8.4,53.3
21300,597,-8.5,53.7
21400,603,-8.6,54.2
21500,609,-8.8,54.7
21600,615,-8.9,55.1
21700,622,-9.0,55.5
21800,628,-9.3,56.1
21900,635,-9.5,56.7
22000,642,-9.7,57.2
22100,649,-10.0,57.8
22200,657,-10.4,58.4
22300,665,-10.5,59.0
22400,674,-11.0,59.6
22500,683,-11.9,60.3
22600,693,-12.6,61.1
22700,705,-13.8,61.9
22800,717,-15.0,62.8
22900,732,-17.3,63.9
23000,752,-21.7,65.3
23100,790,-40.8,68.0
