range,mill,diff100m,eta
2000,92,,6.1
2100,97,,6.4
2200,102,,6.7
2300,106,,7.0
2400,111,,7.3
2500,116,,7.6
2600,121,,7.9
2700,125,,8.2
2800,130,-37.0,8.6
2900,135,-35.7,8.9
3000,139,-34.6,9.2
3100,144,-33.5,9.5
3200,149,-32.5,9.8
3300,154,-31.6,10.1
3400,159,-30.9,10.4
3500,164,-29.9,10.8
3600,168,-29.0,11.1
3700,173,-27.9,11.4
3800,178,-27.7,11.7
3900,183,-27.0,12.0
4000,188,-26.4,12.3
4100,193,-25.8,12.7
4200,198,-25.4,13.0
4300,203,-24.7,13.3
4400,208,-24.2,13.6
4500,213,-23.7,13.9
4600,218,-23.3,14.3
4700,223,-22.8,14.6
4800,228,-22.4,14.9
4900,233,-22.0,15.3
5000,238,-21.6,15.6
5100,243,-21.2,15.9
5200,249,-21.0,16.2
5300,254,-20.5,16.6
5400,259,-20.2,16.9
5500,264,-19.9,17.3
5600,270,-19.3,17.6
5700,275,-19.3,17.9
5800,280,-18.8,18.3
5900,286,-18.8,18.6
6000,291,-18.6,19.0
6100,297,-18.3,19.3
6200,302,-18.1,19.7
6300,308,-17.9,20.0
6400,313,-17.7,20.4
6500,319,-17.5,20.7
6600,325,-17.3,21.1
6700,330,-17.1,21.4
6800,336,-16.9,21.8
6900,342,-16.8,22.2
7000,348,-16.6,22.5
7100,354,-16.5,22.9
7200,360,-16.3,23.3
7300,366,-16.3,23.6
7400,372,-16.1,24.0
7500,378,-16.0,24.4
7600,384,-15.9,24.8
7700,391,-15.8,25.2
7800,397,-15.7,25.6
7900,404,-15.6,26.0
8000,410,-15.5,26.4
8100,417,-15.4,26.8
8200,424,-15.4,27.2
8300,431,-15.3,27.6
8400,438,-15.3,28.0
8500,445,-15.3,28.4
8600,452,-15.2,28.9
8700,459,-15.2,29.3
8800,467,-15.2,29.8
8900,474,-15.2,30.2
9000,482,-15.3,30.7
9100,490,-15.3,31.1
9200,498,-15.3,31.6
9300,507,-15.4,32.1
9400,515,-15.5,32.6
9500,524,-15.6,33.1
9600,533,-15.8,33.6
9700,542,-15.9,34.1
9800,552,-16.0,34.7
9900,562,-16.0,35.2
10000,572,-16.6,35.8
10100,583,-17.0,36.4
10200,594,-17.4,37.1
10300,606,-17.9,37.7
10400,619,-18.0,38.4
10500,633,-19.4,39.2
10600,648,-20.4,40.0
10700,664,-21.9,40.8
10800,683,-24.0,41.8
10900,705,-27.4,42.9
11000,735,-34.3,44.4
