range,mill,diff100m,eta
900,92,,4.1
1000,102,,4.5
1100,113,,5.0
1200,123,,5.4
1300,133,,5.9
1400,144,,6.4
1500,155,,6.8
1600,165,-65.3,7.3
1700,176,-61.7,7.8
1800,187,-58.5,8.3
1900,198,-55.7,8.7
2000,209,-53.1,9.2
2100,220,-50.9,9.7
2200,231,-48.8,10.2
2300,242,-47.0,10.7
2400,254,-45.2,11.2
2500,266,-43.8,11.7
2600,277,-42.4,12.2
2700,289,-41.1,12.7
2800,301,-40.0,13.2
2900,314,-39.0,13.7
3000,326,-38.0,14.2
3100,339,-37.2,14.8
3200,352,-36.4,15.3
3300,365,-35.8,15.9
3400,379,-35.2,16.5
3500,393,-34.7,17.0
3600,407,-34.2,17.6
3700,422,-33.9,18.2
3800,437,-33.7,18.8
3900,453,-33.7,19.5
4000,470,-33.5,20.2
4100,487,-33.6,20.8
4200,505,-33.8,21.5
4300,524,-34.2,22.3
4400,544,-34.9,23.0
4500,566,-36.0,23.9
4600,590,-37.6,24.8
4700,618,-39.8,25.8
4800,649,-43.9,26.9
4900,689,-51.5,28.3
5000,756,-77.8,30.6
