range,mill,diff100m,eta
9100,89,,12.8
9200,90,,12.9
9300,91,,13.0
9400,92,,13.2
9500,93,,13.3
9600,94,,13.5
9700,95,,13.6
9800,96,,13.8
9900,97,,13.9
10000,98,,14.0
10100,99,-10.2,14.2
10200,100,-10.1,14.4
10300,101,-10.0,14.5
10400,102,-9.9,14.6
10500,103,-9.8,14.9
10600,104,-9.7,14.9
10700,105,-9.6,15.0
10800,106,-9.5,15.2
10900,107,-9.4,15.3
11000,108,-9.4,15.5
11100,109,-9.3,15.6
11200,110,-9.2,15.7
11300,111,-9.1,15.9
11400,112,-9.0,16.0
11500,113,-9.0,16.2
11600,114,-8.9,16.3
11700,115,-8.8,16.5
11800,116,-8.7,16.6
11900,117,-8.7,16.7
12000,118,-8.6,16.9
12100,119,-8.5,17.0
12200,120,-8.5,17.2
12300,121,-8.4,17.3
12400,122,-8.3,17.5
12500,123,-8.3,17.6
12600,124,-8.2,17.7
12700,125,-8.1,17.9
12800,126,-8.1,18.0
12900,127,-8.0,18.2
13000,128,-8.0,18.3
13100,129,-7.9,18.5
13200,130,-7.8,18.6
13300,131,-7.8,18.7
13400,132,-7.7,18.9
13500,133,-7.7,19.0
13600,134,-7.6,19.2
13700,135,-7.6,19.3
13800,136,-7.5,19.5
13900,137,-7.5,19.6
14000,138,-7.4,19.7
14100,139,-7.4,19.9
14200,141,-7.3,20.0
14300,141,-7.3,20.2
14400,142,-7.2,20.3
14500,143,-7.2,20.5
14600,144,-7.1,20.6
14700,145,-7.1,20.8
14800,146,-7.0,20.9
14900,147,-7.0,21.0
15000,148,-6.9,21.2
15100,149,-6.9,21.3
15200,150,-6.9,21.5
15300,151,-6.8,21.6
15400,152,-6.8,21.8
15500,153,-6.7,21.9
15600,154,-6.7,22.0
15700,155,-6.6,22.2
15800,157,-6.6,22.3
15900,158,-6.6,22.5
16000,159,-6.5,22.6
16100,160,-6.5,22.8
16200,161,-6.5,22.9
16300,162,-6.4,23.1
16400,163,-6.3,23.2
16500,164,-6.3,23.4
16600,165,-6.3,23.5
16700,166,-6.2,23.7
16800,167,-6.2,23.8
16900,168,-6.2,23.9
17000,169,-6.1,24.1
17100,170,-6.1,24.2
17200,171,-6.1,24.4
17300,172,-6.0,24.5
17400,173,-6.0,24.7
17500,174,-6.0,24.8
17600,175,-6.0,25.0
17700,176,-5.9,25.1
17800,177,-5.9,25.3
17900,178,-5.9,25.4
18000,179,-5.9,25.6
18100,180,-5.8,25.7
18200,181,-5.8,25.8
18300,182,-5.8,26.0
18400,183,-5.7,26.1
18500,184,-5.7,26.3
18600,185,-5.7,26.4
18700,186,-5.6,26.6
18800,188,-5.6,26.7
18900,189,-5.6,26.9
19000,190,-5.6,27.0
19100,191,-5.5,27.2
19200,192,-5.5,27.3
19300,193,-5.5,27.5
19400,194,-5.5,27.6
19500,195,-5.4,27.8
19600,196,-5.4,27.9
19700,197,-5.4,28.0
19800,198,-5.4,28.2
19900,199,-5.3,28.3
20000,200,-5.3,28.5
20100,201,-5.3,28.6
20200,202,-5.3,28.8
20300,203,-5.2,28.9
20400,204,-5.2,29.1
20500,205,-5.2,29.2
20600,206,-5.2,29.4
20700,207,-5.2,29.5
20800,209,-5.1,29.7
20900,210,-5.1,29.8
21000,211,-5.1,30.0
21100,212,-5.1,30.1
21200,213,-5.0,30.3
21300,214,-5.0,30.4
21400,215,-5.0,30.6
21500,216,-5.0,30.7
21600,217,-4.9,30.9
21700,218,-4.9,31.0
21800,219,-4.9,31.2
21900,220,-4.9,31.3
22000,221,-4.9,31.5
22100,222,-4.8,31.6
22200,224,-4.8,31.8
22300,225,-4.8,31.9
22400,226,-4.8,32.1
22500,227,-4.8,32.2
22600,228,-4.8,32.4
22700,229,-4.7,32.5
22800,230,-4.7,32.7
22900,231,-4.7,32.8
23000,232,-4.7,33.0
