range,mill,diff100m,eta
2100,1419,1.6,48.8
2200,1410,1.7,48.7
2300,1400,1.6,48.6
2400,1391,1.9,48.5
2500,1382,1.0,48.3
2600,1373,2.1,48.2
2700,1363,2.0,48.1
2800,1354,2.3,48.0
2900,1345,2.4,48.0
3000,1334,2.6,47.9
3100,1323,2.7,47.9
3200,1315,3.1,47.3
3300,1304,3.0,47.3
3400,1294,3.1,47.3
3500,1284,3.3,47.2
3600,1274,3.4,47.0
3700,1263,3.0,46.9
3800,1252,3.8,46.7
3900,1241,4.0,46.5
4000,1230,4.2,46.3
4100,1219,4.4,46.1
4200,1207,4.7,45.9
4300,1195,4.9,45.7
4400,1183,5.2,45.5
4500,1170,5.5,45.2
4600,1157,5.9,44.9
4700,1144,6.2,44.7
4800,1130,6.7,44.4
4900,1116,7.2,44.4
5000,1101,7.8,43.7
5100,1085,8.4,43.4
5200,1069,9.2,43.0
5300,1052,10.1,42.6
5400,1033,11.2,42.1
5500,1013,12.6,41.6
5600,992,14.5,41.0
5700,967,17.1,40.3
5800,939,21.1,39.5
5900,902,28.4,38.4
6000,843,51.5,36.5
