range,mill,diff100m,eta
17200,1172,,88.6
17300,1169,1.5,88.5
17400,1166,1.5,88.4
17500,1162,1.5,88.3
17600,1159,1.6,88.1
17700,1156,1.6,88.0
17800,1152,1.6,87.9
17900,1149,1.6,87.7
18000,1145,1.7,87.6
18100,1142,1.7,87.4
18200,1138,1.7,87.3
18300,1134,1.8,87.1
18400,1131,1.8,87.0
18500,1127,1.8,86.8
18600,1123,1.9,86.6
18700,1120,1.9,86.5
18800,1116,1.9,86.3
18900,1112,2.0,86.2
19000,1108,2.0,86.0
19100,1104,2.1,85.8
19200,1100,2.1,85.6
19300,1096,2.1,85.5
19400,1092,2.2,85.3
19500,1088,2.2,85.1
19600,1084,2.3,84.9
19700,1080,2.3,84.7
19800,1076,2.4,84.5
19900,1071,2.4,84.3
20000,1067,2.5,84.1
20100,1063,2.6,83.9
20200,1058,2.6,83.7
20300,1054,2.7,83.4
20400,1049,2.8,83.2
20500,1044,2.9,83.0
20600,1039,2.9,82.7
20700,1034,3.0,82.5
20800,1029,3.1,82.2
20900,1024,3.2,82.0
21000,1019,3.3,81.7
21100,1014,3.4,81.4
21200,1008,3.6,81.1
21300,1003,3.7,80.9
21400,997,3.9,80.5
21500,991,4.0,80.2
21600,985,4.2,79.9
21700,978,4.4,79.6
21800,972,4.6,79.2
21900,965,4.8,78.8
22000,958,5.1,78.4
22100,951,5.4,78.0
22200,943,5.8,77.6
22300,936,6.2,77.1
22400,926,6.7,76.6
22500,917,7.3,76.0
22600,907,8.1,75.4
22700,895,9.2,74.8
22800,883,10.6,74.0
22900,868,12.9,73.1
23000,848,17.3,71.8
23100,810,36.4,69.3
