range,mill,diff100m,eta
700,94,,3.6
750,100,,3.9
800,107,,4.2
850,114,,4.4
900,121,,4.7
950,128,,4.9
1000,135,,5.2
1050,141,,5.5
1100,148,,5.7
1150,155,,6.0
1200,162,,6.3
1250,169,,6.5
1300,176,-80.6,6.8
1350,183,-77.8,7.1
1400,191,-75.3,7.4
1450,198,-72.9,7.6
1500,205,-70.7,7.9
1550,212,-68.6,8.2
1600,219,-66.7,8.4
1650,227,-64.9,8.7
1700,234,-63.2,9.0
1750,242,-61.6,9.3
1800,249,-60.2,9.6
1850,257,-58.8,9.9
1900,264,-57.5,10.1
1950,272,-56.3,10.4
2000,280,-55.1,10.7
2050,288,-54.1,11.0
2100,296,-53.1,11.3
2150,304,-52.1,11.6
2200,312,-51.2,11.9
2250,320,-50.4,12.2
2300,328,-49.6,12.5
2350,336,-48.9,12.8
2400,345,-48.2,13.1
2450,354,-47.6,13.4
2500,362,-47.0,13.8
2550,371,-46.5,14.1
2600,380,-46.0,14.4
2650,389,-45.5,14.7
2700,398,-45.0,15.1
2750,408,-44.8,15.4
2800,418,-44.8,15.8
2850,427,-44.2,16.1
2900,437,-44.0,16.5
2950,448,-43.4,16.8
3000,458,-43.3,17.2
3050,469,-43.7,17.6
3100,480,-43.8,18.0
3150,492,-43.9,18.4
3200,504,-44.4,18.8
3250,516,-44.8,19.2
3300,529,-45.1,19.6
3350,542,-45.4,20.1
3400,556,-46.1,20.5
3450,571,-47.0,21.0
3500,587,-48.1,21.5
3550,604,-50.0,22.1
3600,623,-52.0,22.7
3650,643,-55.0,23.3
3700,667,-60.1,24.1
3750,696,-67.0,24.9
3800,736,-83.8,26.1
