range,mill,diff100m,eta
1500,90,,5.2
1600,96,,5.5
1700,102,,5.9
1800,108,,6.2
1900,114,,6.6
2000,120,,6.9
2100,126,,7.3
2200,132,,7.7
2300,138,-45.1,8.0
2400,145,-43.3,8.4
2500,151,-41.6,8.7
2600,157,-40.1,9.1
2700,163,-38.7,9.4
2800,170,-37.4,9.8
2900,176,-36.2,10.2
3000,182,-35.0,10.5
3100,189,-34.0,10.9
3200,195,-33.0,11.2
3300,201,-32.1,11.6
3400,208,-31.3,12.0
3500,214,-30.7,12.3
3600,221,-29.7,12.7
3700,227,-29.0,13.1
3800,234,-28.3,13.5
3900,241,-27.7,13.8
4000,247,-27.1,14.2
4100,254,-26.5,14.6
4200,261,-26.0,15.0
4300,268,-25.6,15.4
4400,275,-25.0,15.7
4500,282,-24.6,16.1
4600,289,-24.2,16.5
4700,296,-23.8,16.9
4800,303,-23.4,17.3
4900,310,-23.0,17.7
5000,317,-22.7,18.1
5100,325,-22.4,18.5
5200,332,-22.0,18.9
5300,340,-21.8,19.4
5400,347,-21.5,19.8
5500,355,-21.3,20.2
5600,363,-21.3,20.6
5700,371,-20.8,21.0
5800,379,-20.7,21.5
5900,387,-20.2,22.0
6000,395,-20.2,22.4
6100,404,-20.2,22.8
6200,412,-20.0,23.3
6300,421,-19.9,23.7
6400,430,-19.8,24.2
6500,439,-19.8,24.7
6600,448,-19.7,25.2
6700,457,-19.7,25.7
6800,467,-19.7,26.1
6900,477,-19.7,26.7
7000,487,-19.8,27.2
7100,498,-19.8,27.7
7200,508,-20.0,28.3
7300,519,-19.9,28.8
7400,531,-19.8,29.4
7500,543,-20.6,30.0
7600,556,-20.9,30.7
7700,569,-21.4,31.3
7800,583,-21.9,32.0
7900,598,-22.6,32.7
8000,614,-23.7,33.5
8100,631,-24.7,34.3
8200,650,-26.5,35.2
8300,673,-29.0,36.3
8400,699,-33.4,37.5
8500,736,-43.4,39.1
