range,mill,diff100m,eta
400,91,,2.7
450,102,,3.0
500,114,,3.4
550,125,,3.7
600,137,,4.1
650,149,,4.4
700,161,,4.8
750,173,,5.1
800,185,,5.5
850,197,,5.8
900,209,-117.6,6.2
950,221,-112.1,6.5
1000,234,-107.1,6.9
1050,247,-102.7,7.3
1100,259,-98.7,7.6
1150,272,-95.2,8.0
1200,286,-92.0,8.4
1250,299,-89.1,8.8
1300,313,-86.6,9.2
1350,327,-84.4,9.6
1400,341,-82.0,10.0
1450,355,-80.2,10.4
1500,370,-78.6,10.8
1550,386,-77.2,11.2
1600,401,-76.0,11.6
1650,418,-75.0,12.1
1700,435,-74.3,12.6
1750,452,-73.8,13.0
1800,470,-73.6,13.5
1850,490,-73.7,14.0
1900,510,-74.1,14.6
1950,532,-75.1,15.1
2000,555,-76.7,15.7
2050,581,-79.8,16.4
2100,609,-83.4,17.1
2150,643,-90.0,17.9
2200,686,-102.7,18.9
2250,762,-143.3,20.6
