range,mill,diff100m,eta
2200,1507,0.4,70.1
2300,1503,0.4,70.0
2400,1499,0.4,70.0
2500,1494,0.4,70.0
2600,1490,0.5,70.0
2700,1486,0.5,69.9
2800,1481,0.5,69.9
2900,1477,0.5,69.8
3000,1473,0.5,69.8
3100,1468,0.6,69.8
3200,1464,0.6,69.7
3300,1460,0.6,69.7
3400,1455,0.6,69.7
3500,1451,0.6,69.6
3600,1447,0.7,69.6
3700,1442,0.7,69.5
3800,1438,0.7,69.5
3900,1433,0.7,69.4
4000,1429,0.7,69.4
4100,1425,0.8,69.3
4200,1420,0.8,69.3
4300,1416,0.8,69.2
4400,1411,0.8,69.2
4500,1407,0.9,69.1
4600,1402,0.9,69.0
4700,1397,0.9,69.0
4800,1393,0.9,68.9
4900,1388,1.0,68.8
5000,1384,1.0,68.8
5100,1379,1.0,68.7
5200,1375,1.0,68.6
5300,1370,1.1,68.6
5400,1365,1.1,68.5
5500,1360,1.1,68.4
5600,1356,1.1,68.3
5700,1351,1.2,68.3
5800,1346,1.2,68.2
5900,1341,1.2,68.1
6000,1337,1.3,68.0
6100,1332,1.3,67.9
6200,1327,1.3,67.8
6300,1322,1.4,67.8
6400,1317,1.4,67.7
6500,1312,1.4,67.6
6600,1307,1.5,67.5
6700,1302,1.5,67.4
6800,1297,1.5,67.3
6900,1292,1.6,67.2
7000,1287,1.6,67.1
7100,1282,1.7,67.0
7200,1277,1.7,66.8
7300,1271,1.7,66.7
7400,1266,1.8,66.6
7500,1261,1.8,66.5
7600,1255,1.9,66.4
7700,1250,1.9,66.2
7800,1245,2.0,66.1
7900,1239,2.0,66.0
8000,1233,2.1,65.9
8100,1228,2.1,65.7
8200,1222,2.2,65.6
8300,1216,2.2,65.4
8400,1211,2.3,65.3
8500,1205,2.4,65.1
8600,1199,2.4,65.0
8700,1193,2.5,64.8
8800,1187,2.6,64.7
8900,1181,2.7,64.5
9000,1175,2.7,64.3
9100,1168,2.8,64.1
9200,1162,2.9,64.0
9300,1155,3.0,63.8
9400,1149,3.1,63.6
9500,1142,3.2,63.4
9600,1135,3.3,63.2
9700,1128,3.4,63.0
9800,1121,3.5,62.7
9900,1114,3.7,62.5
10000,1107,3.8,62.3
10100,1099,4.0,62.0
10200,1092,4.1,61.8
10300,1084,4.3,61.5
10400,1076,4.5,61.2
10500,1068,4.7,61.0
10600,1059,4.9,60.7
10700,1050,5.2,60.4
10800,1041,5.5,60.0
10900,1032,5.8,59.7
11000,1022,6.1,59.3
11100,1012,6.5,59.0
11200,1001,7.0,58.6
11300,990,7.5,58.1
11400,978,8.2,57.7
11500,966,9.0,57.2
11600,952,9.9,56.6
11700,937,11.2,56.0
11800,920,13.0,55.3
11900,901,15.6,54.4
12000,877,20.3,53.4
12100,840,32.8,51.7
