range,mill,diff100m,eta
2500,90,,6.7
2600,93,,7.0
2700,97,,7.3
2800,101,,7.5
2900,104,,7.8
3000,108,,8.1
3100,112,,8.3
3200,115,,8.6
3300,119,,8.8
3400,123,-30.4,9.2
3500,126,-29.6,9.4
3600,130,-28.8,9.7
3700,134,-28.0,10.0
3800,137,-27.3,10.3
3900,141,-26.6,10.5
4000,145,-26.0,10.8
4100,148,-25.4,11.1
4200,152,-24.8,11.4
4300,156,-24.3,11.6
4400,160,-23.7,11.9
4500,163,-23.2,12.2
4600,167,-22.8,12.5
4700,171,-22.3,12.7
4800,175,-21.9,13.0
4900,179,-21.5,13.3
5000,182,-21.0,13.6
5100,186,-20.7,13.9
5200,190,-20.3,14.1
5300,194,-20.0,14.4
5400,198,-19.6,14.7
5500,202,-19.3,15.0
5600,205,-19.0,15.3
5700,209,-18.7,15.6
5800,213,-18.4,15.9
5900,217,-18.0,16.1
6000,221,-17.8,16.4
6100,225,-17.6,16.7
6200,229,-17.3,17.0
6300,233,-17.1,17.3
6400,237,-16.9,17.6
6500,241,-16.6,17.9
6600,245,-16.4,18.2
6700,249,-16.2,18.5
6800,253,-16.0,18.8
6900,257,-15.8,19.1
7000,261,-15.7,19.3
7100,265,-15.4,19.6
7200,269,-15.3,19.9
7300,274,-15.1,20.2
7400,278,-14.9,20.5
7500,282,-14.8,20.8
7600,286,-14.6,21.2
7700,290,-14.5,21.5
7800,295,-14.3,21.8
7900,299,-14.0,22.1
8000,303,-14.0,22.4
8100,308,-13.9,22.7
8200,312,-13.8,23.0
8300,316,-13.7,23.3
8400,321,-13.6,23.6
8500,325,-13.4,23.9
8600,330,-13.3,24.3
8700,334,-13.1,24.6
8800,339,-13.1,24.9
8900,343,-13.0,25.2
9000,348,-12.9,25.5
9100,352,-12.8,25.9
9200,357,-12.8,26.2
9300,362,-12.7,26.5
9400,366,-12.6,26.9
9500,371,-12.5,27.2
9600,376,-12.5,27.5
9700,381,-12.4,27.9
9800,386,-12.3,28.2
9900,391,-12.3,28.5
10000,396,-12.2,28.9
10100,401,-12.2,29.2
10200,406,-12.1,29.6
10300,411,-12.1,29.9
10400,416,-12.0,30.3
10500,421,-12.0,30.7
10600,427,-12.0,31.0
10700,432,-11.9,31.4
10800,437,-11.9,31.8
10900,443,-11.9,32.1
11000,449,-11.9,32.5
11100,454,-11.9,32.9
11200,460,-11.9,33.3
11300,466,-11.9,33.7
11400,472,-11.9,34.1
11500,478,-11.9,34.5
11600,484,-11.9,34.9
11700,490,-11.9,35.3
11800,496,-11.9,35.7
11900,503,-12.0,36.1
12000,509,-12.0,36.6
12100,516,-12.1,37.0
12200,523,-12.2,37.4
12300,530,-12.4,37.9
12400,537,-12.3,38.4
12500,544,-12.4,38.8
12600,552,-12.6,39.3
12700,559,-12.7,39.8
12800,567,-12.9,40.3
12900,576,-13.1,40.8
13000,584,-13.3,41.4
13100,593,-13.7,41.9
13200,602,-13.8,42.5
13300,612,-14.2,43.1
13400,622,-14.7,43.7
13500,633,-16.0,44.4
13600,644,-16.8,45.1
13700,656,-16.6,45.8
13800,670,-17.0,46.6
13900,685,-19.0,47.5
14000,702,-21.4,48.5
14100,723,-24.8,49.7
14200,752,-32.9,51.3
