range,mill,diff100m,eta
13500,1170,,78.3
13600,1165,1.9,78.1
13700,1161,2.0,78.0
13800,1157,2.0,77.8
13900,1152,2.1,77.7
14000,1148,2.1,77.5
14100,1143,2.1,77.3
14200,1139,2.2,77.2
14300,1134,2.2,77.0
14400,1130,2.3,76.8
14500,1125,2.4,76.6
14600,1120,2.4,76.5
14700,1115,2.5,76.3
14800,1110,2.5,76.1
14900,1106,2.6,75.9
15000,1100,2.7,75.7
15100,1095,2.7,75.5
15200,1090,2.8,75.3
15300,1085,2.9,75.1
15400,1080,3.0,74.9
15500,1074,3.1,74.6
15600,1069,3.2,74.4
15700,1063,3.3,74.2
15800,1057,3.4,73.9
15900,1051,3.5,73.7
16000,1045,3.6,73.4
16100,1039,3.8,73.1
16200,1033,3.9,72.8
16300,1026,4.1,72.6
16400,1020,4.2,72.3
16500,1013,4.4,71.9
16600,1006,4.6,71.6
16700,998,4.9,71.3
16800,991,5.1,70.9
16900,983,5.4,70.5
17000,975,5.7,70.1
17100,966,6.1,69.7
17200,957,6.5,69.3
17300,948,7.1,68.8
17400,937,7.8,68.3
17500,926,8.5,67.7
17600,914,9.5,67.1
17700,901,10.9,66.4
17800,885,12.9,65.5
17900,866,16.4,64.5
18000,839,24.8,62.9
