range,mill,diff100m,eta
5300,1421,0.6,78.1
5400,1418,0.6,78.0
5500,1414,0.6,78.0
5600,1411,0.6,77.9
5700,1407,0.7,77.9
5800,1404,0.7,77.8
5900,1400,0.7,77.8
6000,1397,0.7,77.7
6100,1393,0.7,77.6
6200,1389,0.7,77.6
6300,1386,0.8,77.5
6400,1382,0.8,77.5
6500,1378,0.8,77.4
6600,1375,0.8,77.4
6700,1371,0.8,77.3
6800,1367,0.8,77.2
6900,1364,0.9,77.2
7000,1360,0.9,77.1
7100,1356,0.9,77.0
7200,1352,0.9,77.0
7300,1349,0.9,76.9
7400,1345,1.0,76.8
7500,1341,1.0,76.7
7600,1337,1.0,76.7
7700,1334,1.0,76.6
7800,1330,1.0,76.5
7900,1326,1.1,76.4
8000,1322,1.1,76.4
8100,1318,1.1,76.3
8200,1314,1.1,76.2
8300,1310,1.1,76.1
8400,1306,1.2,76.0
8500,1302,1.2,75.9
8600,1299,1.2,75.8
8700,1295,1.2,75.8
8800,1291,1.3,75.7
8900,1287,1.3,75.6
9000,1282,1.3,75.5
9100,1278,1.3,75.4
9200,1274,1.4,75.3
9300,1270,1.4,75.2
9400,1266,1.4,75.1
9500,1262,1.4,74.9
9600,1258,1.5,74.9
9700,1253,1.5,74.7
9800,1249,1.5,74.6
9900,1245,1.5,74.4
10000,1240,1.6,74.4
10100,1236,1.6,74.2
10200,1232,1.6,74.0
10300,1227,1.7,73.9
10400,1223,1.7,73.9
10500,1218,1.8,73.8
10600,1214,1.8,73.7
10700,1209,1.8,73.5
10800,1205,1.9,73.4
10900,1200,1.9,73.3
11000,1196,2.0,73.1
11100,1191,2.0,73.0
11200,1186,2.0,72.8
11300,1181,2.1,72.7
11400,1176,2.1,72.5
11500,1171,2.2,72.4
11600,1166,2.2,72.2
11700,1161,2.2,72.0
11800,1156,2.4,71.9
11900,1151,2.4,71.7
12000,1146,2.5,71.5
12100,1140,2.6,71.4
12200,1135,2.6,71.2
12300,1129,2.7,71.0
12400,1124,2.8,70.8
12500,1118,2.8,70.6
12600,1113,2.9,70.4
12700,1107,3.0,70.2
12800,1101,3.1,70.0
12900,1095,3.2,69.7
13000,1089,3.3,69.5
13100,1083,3.4,69.3
13200,1076,3.5,69.0
13300,1070,3.7,68.8
13400,1063,3.8,68.5
13500,1057,4.0,68.3
13600,1050,4.1,68.0
13700,1042,4.3,67.7
13800,1035,4.5,67.4
13900,1028,4.7,67.1
14000,1020,4.9,66.8
14100,1012,5.2,66.4
14200,1004,5.6,66.1
14300,995,5.8,65.7
14400,986,6.2,65.3
14500,976,6.6,64.9
14600,966,7.1,64.4
14700,956,7.7,63.9
14800,944,8.4,63.4
14900,932,9.4,62.8
15000,918,10.8,62.2
15100,883,14.9,61.0
15200,862,19.4,59.4
15400,822,36.8,57.3
