range,mill,diff100m,eta
850,1417,3.9,30.9
900,1406,4.2,30.8
950,1394,4.5,30.7
1000,1383,4.8,30.7
1050,1371,5.1,30.6
1100,1359,5.4,30.5
1150,1347,5.7,30.4
1200,1335,6.0,30.3
1250,1323,6.5,30.2
1300,1311,6.9,30.1
1350,1298,7.4,30.0
1400,1285,7.9,29.9
1450,1273,8.4,29.8
1500,1259,8.8,29.6
1550,1245,9.4,29.5
1600,1231,10.0,29.4
1650,1217,10.7,29.2
1700,1202,11.4,29.0
1750,1187,12.2,28.8
1800,1172,13.1,28.7
1850,1156,14.2,28.4
1900,1139,16.3,28.2
1950,1121,16.5,28.0
2000,1103,18.1,27.7
2050,1084,20.0,27.4
2100,1063,22.2,27.1
2150,1041,24.9,26.8
2200,1017,28.1,26.4
2250,989,33.2,25.9
2300,958,40.1,25.4
2350,919,52.0,24.6
2400,857,81.3,23.4
