range,mill,diff100m,eta
1200,93,,4.7
1300,101,,5.1
1400,108,,5.4
1500,116,,5.9
1600,124,,6.2
1700,132,,6.7
1800,140,,7.1
1900,148,,7.5
2000,156,-52.1,7.9
2100,164,-49.8,8.3
2200,172,-47.6,8.8
2300,180,-45.7,9.2
2400,189,-43.9,9.6
2500,197,-42.3,10.0
2600,205,-40.8,10.4
2700,214,-39.5,10.8
2800,222,-38.4,11.2
2900,231,-37.4,11.7
3000,239,-36.0,12.1
3100,248,-35.0,12.5
3200,256,-34.0,13.0
3300,265,-33.2,13.4
3400,274,-32.4,13.8
3500,283,-31.6,14.3
3600,292,-30.9,14.7
3700,301,-30.3,15.2
3800,311,-29.7,15.6
3900,320,-29.1,16.1
4000,330,-28.6,16.7
4100,340,-28.2,17.0
4200,349,-27.7,17.5
4300,359,-27.4,18.0
4400,370,-27.0,18.5
4500,380,-26.6,18.9
4600,390,-26.3,19.5
4700,401,-26.0,20.0
4800,412,-25.9,20.5
4900,424,-25.7,21.0
5000,435,-25.4,21.5
5100,447,-25.4,22.1
5200,459,-25.4,22.7
5300,472,-25.4,23.2
5400,485,-25.5,23.8
5500,498,-25.6,24.4
5600,512,-25.8,25.1
5700,527,-26.1,25.7
5800,542,-26.4,26.4
5900,559,-27.0,27.1
6000,576,-27.8,27.9
6100,595,-28.8,28.7
6200,615,-30.4,29.5
6300,638,-32.0,30.5
6400,661,-35.0,31.5
6500,699,-42.1,32.9
6600,751,-60.4,35.0
