range,mill,diff100m,eta
500,42,,2.1
600,51,,2.5
700,59,,2.9
800,68,,3.3
900,77,,3.7
1000,85,,4.1
1100,94,,4.5
1200,102,,5.0
1300,111,,5.4
1400,120,-73.6,5.8
1500,128,-68.9,6.0
1600,137,-64.7,6.6
1700,146,-61.1,7.1
1800,155,-57.9,7.5
1900,163,-55.0,7.9
2000,172,-52.4,8.3
2100,181,-50.1,8.8
2200,190,-48.0,9.2
2300,200,-46.0,9.6
2400,209,-44.3,10.1
2500,218,-42.7,10.5
2600,227,-41.2,11.0
2700,237,-39.9,11.4
2800,246,-38.7,11.9
2900,256,-37.5,12.3
3000,266,-36.5,12.8
3100,275,-35.5,13.2
3200,285,-34.6,13.7
3300,295,-33.8,14.2
3400,306,-33.1,14.6
3500,316,-32.4,15.1
3600,326,-31.7,15.6
3700,337,-31.1,16.1
3800,348,-30.6,16.6
3900,359,-30.1,17.1
4000,370,-29.7,17.6
4100,381,-29.3,18.1
4200,393,-28.9,18.7
4300,405,-28.4,19.2
4400,417,-28.2,19.7
4500,430,-28.2,20.3
4600,443,-28.2,20.9
4700,456,-28.0,21.5
4800,470,-27.9,22.1
4900,484,-27.8,22.7
5000,499,-28.0,23.3
5100,515,-28.4,24.0
5200,531,-28.9,24.7
5300,548,-29.4,25.4
5400,567,-30.1,26.2
5500,587,-31.2,27.0
5600,608,-32.7,27.9
5700,633,-34.9,28.8
5800,661,-38.0,30.0
5900,698,-45.6,31.3
6000,757,-68.5,33.5
